dictionary,country,year,dimension,source,count
the opposition,spain,2018,electoral,freedomhouse_freedom-world,1
elected,spain,2018,electoral,freedomhouse_freedom-world,5
referendum,spain,2018,participatory,freedomhouse_freedom-world,9
voting,spain,2018,electoral,freedomhouse_freedom-world,3
electoral,spain,2018,electoral,freedomhouse_freedom-world,1
legal framework,spain,2018,liberal_institution,freedomhouse_freedom-world,2
voted,spain,2018,electoral,freedomhouse_freedom-world,2
courts,spain,2018,liberal_institution,freedomhouse_freedom-world,4
opposition parties,spain,2018,electoral,freedomhouse_freedom-world,1
court,spain,2018,liberal_institution,freedomhouse_freedom-world,5
demonstrators,spain,2018,participatory,freedomhouse_freedom-world,1
human rights,spain,2018,liberal_rights,freedomhouse_freedom-world,3
protesters,spain,2018,participatory,freedomhouse_freedom-world,3
websites,spain,2018,media,freedomhouse_freedom-world,2
participants,spain,2018,participatory,freedomhouse_freedom-world,1
turnout,spain,2018,electoral,freedomhouse_freedom-world,1
free to organize,spain,2018,participatory,freedomhouse_freedom-world,2
women,spain,2018,liberal_rights,freedomhouse_freedom-world,4
minorities,spain,2018,liberal_rights,freedomhouse_freedom-world,2
freedom of information,spain,2018,participatory,freedomhouse_freedom-world,1
press,spain,2018,media,freedomhouse_freedom-world,1
media,spain,2018,media,freedomhouse_freedom-world,3
journalists,spain,2018,media,freedomhouse_freedom-world,3
news,spain,2018,media,freedomhouse_freedom-world,1
social media,spain,2018,media,freedomhouse_freedom-world,2
muslims,spain,2018,liberal_rights,freedomhouse_freedom-world,1
protestants,spain,2018,participatory,freedomhouse_freedom-world,1
freedom of assembly,spain,2018,participatory,freedomhouse_freedom-world,1
participating,spain,2018,participatory,freedomhouse_freedom-world,1
protests,spain,2018,participatory,freedomhouse_freedom-world,3
demonstrations,spain,2018,participatory,freedomhouse_freedom-world,1
unions,spain,2018,participatory,freedomhouse_freedom-world,1
strikes,spain,2018,participatory,freedomhouse_freedom-world,1
judiciary,spain,2018,liberal_institution,freedomhouse_freedom-world,1
independent judiciary,spain,2018,liberal_institution,freedomhouse_freedom-world,1
judges,spain,2018,liberal_institution,freedomhouse_freedom-world,3
arbitrary arrest,spain,2018,liberal_institution,freedomhouse_freedom-world,1
due process,spain,2018,liberal_institution,freedomhouse_freedom-world,1
lgbt,spain,2018,liberal_rights,freedomhouse_freedom-world,1
discrimination,spain,2018,liberal_rights,freedomhouse_freedom-world,1
refugees,spain,2018,liberal_rights,freedomhouse_freedom-world,1
civil society,spain,2018,participatory,freedomhouse_freedom-world,1
samesex,spain,2018,liberal_rights,freedomhouse_freedom-world,2
elected,germany,2021,electoral,freedomhouse_freedom-world,6
vote,germany,2021,electoral,freedomhouse_freedom-world,8
elections,germany,2021,electoral,freedomhouse_freedom-world,8
union,germany,2021,participatory,freedomhouse_freedom-world,4
representation,germany,2021,electoral,freedomhouse_freedom-world,3
proportional representation,germany,2021,electoral,freedomhouse_freedom-world,1
election,germany,2021,electoral,freedomhouse_freedom-world,1
electoral,germany,2021,electoral,freedomhouse_freedom-world,2
impartial,germany,2021,liberal_institution,freedomhouse_freedom-world,1
judged,germany,2021,liberal_institution,freedomhouse_freedom-world,1
court,germany,2021,liberal_institution,freedomhouse_freedom-world,3
opposition parties,germany,2021,electoral,freedomhouse_freedom-world,1
gender,germany,2021,liberal_rights,freedomhouse_freedom-world,4
ethnicity,germany,2021,liberal_rights,freedomhouse_freedom-world,1
sexual orientation,germany,2021,liberal_rights,freedomhouse_freedom-world,2
women,germany,2021,liberal_rights,freedomhouse_freedom-world,5
voting,germany,2021,electoral,freedomhouse_freedom-world,1
media,germany,2021,media,freedomhouse_freedom-world,6
journalists,germany,2021,media,freedomhouse_freedom-world,6
justice,germany,2021,liberal_institution,freedomhouse_freedom-world,4
held accountable,germany,2021,liberal_institution,freedomhouse_freedom-world,1
freedom of expression,germany,2021,participatory,freedomhouse_freedom-world,2
demonstrations,germany,2021,participatory,freedomhouse_freedom-world,4
social media,germany,2021,media,freedomhouse_freedom-world,3
privacy,germany,2021,media,freedomhouse_freedom-world,2
mandated,germany,2021,electoral,freedomhouse_freedom-world,1
freedom of belief,germany,2021,participatory,freedomhouse_freedom-world,1
muslim,germany,2021,liberal_rights,freedomhouse_freedom-world,1
internet,germany,2021,media,freedomhouse_freedom-world,2
online,germany,2021,media,freedomhouse_freedom-world,1
telecommunications,germany,2021,media,freedomhouse_freedom-world,1
courts,germany,2021,liberal_institution,freedomhouse_freedom-world,1
protesters,germany,2021,participatory,freedomhouse_freedom-world,3
demonstrators,germany,2021,participatory,freedomhouse_freedom-world,1
participants,germany,2021,participatory,freedomhouse_freedom-world,1
press,germany,2021,media,freedomhouse_freedom-world,1
ngos,germany,2021,participatory,freedomhouse_freedom-world,3
lgbt,germany,2021,liberal_rights,freedomhouse_freedom-world,1
unions,germany,2021,participatory,freedomhouse_freedom-world,1
free to organize,germany,2021,participatory,freedomhouse_freedom-world,1
judiciary,germany,2021,liberal_institution,freedomhouse_freedom-world,1
rule of law,germany,2021,liberal_institution,freedomhouse_freedom-world,1
due process,germany,2021,liberal_institution,freedomhouse_freedom-world,1
prosecutors,germany,2021,liberal_institution,freedomhouse_freedom-world,1
participated,germany,2021,participatory,freedomhouse_freedom-world,1
participating,germany,2021,participatory,freedomhouse_freedom-world,1
refugees,germany,2021,liberal_rights,freedomhouse_freedom-world,1
refugee,germany,2021,liberal_rights,freedomhouse_freedom-world,2
discrimination,germany,2021,liberal_rights,freedomhouse_freedom-world,2
asylum,germany,2021,liberal_rights,freedomhouse_freedom-world,4
islamic,germany,2021,liberal_rights,freedomhouse_freedom-world,1
antidiscrimination,germany,2021,liberal_rights,freedomhouse_freedom-world,1
samesex,germany,2021,liberal_rights,freedomhouse_freedom-world,2
campaigners,germany,2021,electoral,freedomhouse_freedom-world,1
ethnic,germany,2021,liberal_rights,freedomhouse_freedom-world,1
roma,germany,2021,liberal_rights,freedomhouse_freedom-world,1
elected,slovenia,2021,electoral,freedomhouse_freedom-world,7
minority,slovenia,2021,liberal_rights,freedomhouse_freedom-world,4
electoral,slovenia,2021,electoral,freedomhouse_freedom-world,3
representation,slovenia,2021,electoral,freedomhouse_freedom-world,1
vote,slovenia,2021,electoral,freedomhouse_freedom-world,2
proportional representation,slovenia,2021,electoral,freedomhouse_freedom-world,1
minorities,slovenia,2021,liberal_rights,freedomhouse_freedom-world,2
elections,slovenia,2021,electoral,freedomhouse_freedom-world,2
election,slovenia,2021,electoral,freedomhouse_freedom-world,1
impartial,slovenia,2021,liberal_institution,freedomhouse_freedom-world,1
votes,slovenia,2021,electoral,freedomhouse_freedom-world,1
elect,slovenia,2021,electoral,freedomhouse_freedom-world,1
roma,slovenia,2021,liberal_rights,freedomhouse_freedom-world,3
television,slovenia,2021,media,freedomhouse_freedom-world,1
gender,slovenia,2021,liberal_rights,freedomhouse_freedom-world,2
mandated,slovenia,2021,electoral,freedomhouse_freedom-world,2
ngos,slovenia,2021,participatory,freedomhouse_freedom-world,4
women,slovenia,2021,liberal_rights,freedomhouse_freedom-world,2
court,slovenia,2021,liberal_institution,freedomhouse_freedom-world,5
media,slovenia,2021,media,freedomhouse_freedom-world,13
rule of law,slovenia,2021,liberal_institution,freedomhouse_freedom-world,2
union,slovenia,2021,participatory,freedomhouse_freedom-world,2
press,slovenia,2021,media,freedomhouse_freedom-world,3
defamation,slovenia,2021,media,freedomhouse_freedom-world,2
journalists,slovenia,2021,media,freedomhouse_freedom-world,7
participation,slovenia,2021,participatory,freedomhouse_freedom-world,1
pluralism,slovenia,2021,electoral,freedomhouse_freedom-world,2
propaganda,slovenia,2021,media,freedomhouse_freedom-world,1
discrimination,slovenia,2021,liberal_rights,freedomhouse_freedom-world,4
free to express,slovenia,2021,participatory,freedomhouse_freedom-world,1
prosecutor,slovenia,2021,liberal_institution,freedomhouse_freedom-world,1
social media,slovenia,2021,media,freedomhouse_freedom-world,2
protesters,slovenia,2021,participatory,freedomhouse_freedom-world,2
demonstrations,slovenia,2021,participatory,freedomhouse_freedom-world,1
privacy,slovenia,2021,media,freedomhouse_freedom-world,1
protest,slovenia,2021,participatory,freedomhouse_freedom-world,2
participants,slovenia,2021,participatory,freedomhouse_freedom-world,1
protests,slovenia,2021,participatory,freedomhouse_freedom-world,1
ngo,slovenia,2021,participatory,freedomhouse_freedom-world,1
unions,slovenia,2021,participatory,freedomhouse_freedom-world,3
strike,slovenia,2021,participatory,freedomhouse_freedom-world,1
judiciary,slovenia,2021,liberal_institution,freedomhouse_freedom-world,2
independent judiciary,slovenia,2021,liberal_institution,freedomhouse_freedom-world,1
courts,slovenia,2021,liberal_institution,freedomhouse_freedom-world,2
prosecutors,slovenia,2021,liberal_institution,freedomhouse_freedom-world,1
striking,slovenia,2021,participatory,freedomhouse_freedom-world,1
asylum,slovenia,2021,liberal_rights,freedomhouse_freedom-world,4
refugees,slovenia,2021,liberal_rights,freedomhouse_freedom-world,1
lgbt,slovenia,2021,liberal_rights,freedomhouse_freedom-world,2
sexual orientation,slovenia,2021,liberal_rights,freedomhouse_freedom-world,1
samesex,slovenia,2021,liberal_rights,freedomhouse_freedom-world,1
pressing,slovenia,2021,media,freedomhouse_freedom-world,1
elected,greece,2018,electoral,freedomhouse_freedom-world,4
elections,greece,2018,electoral,freedomhouse_freedom-world,8
vote,greece,2018,electoral,freedomhouse_freedom-world,3
electoral,greece,2018,electoral,freedomhouse_freedom-world,3
votes,greece,2018,electoral,freedomhouse_freedom-world,1
union,greece,2018,participatory,freedomhouse_freedom-world,2
campaigning,greece,2018,electoral,freedomhouse_freedom-world,1
voting,greece,2018,electoral,freedomhouse_freedom-world,2
participated,greece,2018,participatory,freedomhouse_freedom-world,1
representation,greece,2018,electoral,freedomhouse_freedom-world,1
minority,greece,2018,liberal_rights,freedomhouse_freedom-world,4
muslim,greece,2018,liberal_rights,freedomhouse_freedom-world,3
ethnic,greece,2018,liberal_rights,freedomhouse_freedom-world,2
minorities,greece,2018,liberal_rights,freedomhouse_freedom-world,1
women,greece,2018,liberal_rights,freedomhouse_freedom-world,5
participation,greece,2018,participatory,freedomhouse_freedom-world,1
access to information,greece,2018,participatory,freedomhouse_freedom-world,1
press,greece,2018,media,freedomhouse_freedom-world,1
online,greece,2018,media,freedomhouse_freedom-world,1
news,greece,2018,media,freedomhouse_freedom-world,1
defamation,greece,2018,media,freedomhouse_freedom-world,2
journalists,greece,2018,media,freedomhouse_freedom-world,1
protests,greece,2018,participatory,freedomhouse_freedom-world,2
television,greece,2018,media,freedomhouse_freedom-world,2
radio,greece,2018,media,freedomhouse_freedom-world,1
media,greece,2018,media,freedomhouse_freedom-world,1
church,greece,2018,liberal_rights,freedomhouse_freedom-world,1
freedom of religion,greece,2018,participatory,freedomhouse_freedom-world,1
discrimination,greece,2018,liberal_rights,freedomhouse_freedom-world,4
freedom of assembly,greece,2018,participatory,freedomhouse_freedom-world,1
demonstrations,greece,2018,participatory,freedomhouse_freedom-world,1
participate,greece,2018,participatory,freedomhouse_freedom-world,1
ngos,greece,2018,participatory,freedomhouse_freedom-world,2
unions,greece,2018,participatory,freedomhouse_freedom-world,1
strike,greece,2018,participatory,freedomhouse_freedom-world,1
judiciary,greece,2018,liberal_institution,freedomhouse_freedom-world,1
judges,greece,2018,liberal_institution,freedomhouse_freedom-world,2
arbitrary arrest,greece,2018,liberal_institution,freedomhouse_freedom-world,1
court,greece,2018,liberal_institution,freedomhouse_freedom-world,1
asylum,greece,2018,liberal_rights,freedomhouse_freedom-world,4
equality before the law,greece,2018,liberal_institution,freedomhouse_freedom-world,1
refugees,greece,2018,liberal_rights,freedomhouse_freedom-world,3
lgbt,greece,2018,liberal_rights,freedomhouse_freedom-world,2
legal framework,greece,2018,liberal_institution,freedomhouse_freedom-world,1
islamic,greece,2018,liberal_rights,freedomhouse_freedom-world,1
courts,greece,2018,liberal_institution,freedomhouse_freedom-world,1
gender,greece,2018,liberal_rights,freedomhouse_freedom-world,2
judge,greece,2018,liberal_institution,freedomhouse_freedom-world,1
elected,kosovo,2021,electoral,freedomhouse_freedom-world,7
votes,kosovo,2021,electoral,freedomhouse_freedom-world,5
elections,kosovo,2021,electoral,freedomhouse_freedom-world,11
election,kosovo,2021,electoral,freedomhouse_freedom-world,10
court,kosovo,2021,liberal_institution,freedomhouse_freedom-world,7
voting,kosovo,2021,electoral,freedomhouse_freedom-world,2
courts,kosovo,2021,liberal_institution,freedomhouse_freedom-world,7
representation,kosovo,2021,electoral,freedomhouse_freedom-world,1
ethnic,kosovo,2021,liberal_rights,freedomhouse_freedom-world,8
proportional representation,kosovo,2021,electoral,freedomhouse_freedom-world,1
turnout,kosovo,2021,electoral,freedomhouse_freedom-world,1
electoral,kosovo,2021,electoral,freedomhouse_freedom-world,4
union,kosovo,2021,participatory,freedomhouse_freedom-world,2
vote,kosovo,2021,electoral,freedomhouse_freedom-world,4
website,kosovo,2021,media,freedomhouse_freedom-world,1
opposition parties,kosovo,2021,electoral,freedomhouse_freedom-world,1
the opposition,kosovo,2021,electoral,freedomhouse_freedom-world,2
campaign,kosovo,2021,electoral,freedomhouse_freedom-world,3
minority,kosovo,2021,liberal_rights,freedomhouse_freedom-world,1
women,kosovo,2021,liberal_rights,freedomhouse_freedom-world,5
gender,kosovo,2021,liberal_rights,freedomhouse_freedom-world,5
media,kosovo,2021,media,freedomhouse_freedom-world,4
lgbt,kosovo,2021,liberal_rights,freedomhouse_freedom-world,3
mandates,kosovo,2021,electoral,freedomhouse_freedom-world,1
press,kosovo,2021,media,freedomhouse_freedom-world,1
radio,kosovo,2021,media,freedomhouse_freedom-world,1
television,kosovo,2021,media,freedomhouse_freedom-world,1
journalists,kosovo,2021,media,freedomhouse_freedom-world,2
social media,kosovo,2021,media,freedomhouse_freedom-world,1
freedom of religion,kosovo,2021,participatory,freedomhouse_freedom-world,1
muslims,kosovo,2021,liberal_rights,freedomhouse_freedom-world,1
free to express,kosovo,2021,participatory,freedomhouse_freedom-world,1
demonstrations,kosovo,2021,participatory,freedomhouse_freedom-world,1
freedom of assembly,kosovo,2021,participatory,freedomhouse_freedom-world,1
protests,kosovo,2021,participatory,freedomhouse_freedom-world,1
participants,kosovo,2021,participatory,freedomhouse_freedom-world,1
ngos,kosovo,2021,participatory,freedomhouse_freedom-world,3
civil society,kosovo,2021,participatory,freedomhouse_freedom-world,1
unions,kosovo,2021,participatory,freedomhouse_freedom-world,3
judiciary,kosovo,2021,liberal_institution,freedomhouse_freedom-world,2
judges,kosovo,2021,liberal_institution,freedomhouse_freedom-world,3
prosecutors,kosovo,2021,liberal_institution,freedomhouse_freedom-world,3
due process,kosovo,2021,liberal_institution,freedomhouse_freedom-world,1
islamic,kosovo,2021,liberal_rights,freedomhouse_freedom-world,1
liberation,kosovo,2021,liberal_rights,freedomhouse_freedom-world,1
roma,kosovo,2021,liberal_rights,freedomhouse_freedom-world,1
discrimination,kosovo,2021,liberal_rights,freedomhouse_freedom-world,2
sexual orientation,kosovo,2021,liberal_rights,freedomhouse_freedom-world,1
samesex,kosovo,2021,liberal_rights,freedomhouse_freedom-world,1
legal framework,kosovo,2021,liberal_institution,freedomhouse_freedom-world,1
elected,armenia,2019,electoral,freedomhouse_freedom-world,6
protests,armenia,2019,participatory,freedomhouse_freedom-world,5
demonstrations,armenia,2019,participatory,freedomhouse_freedom-world,5
the opposition,armenia,2019,electoral,freedomhouse_freedom-world,3
elections,armenia,2019,electoral,freedomhouse_freedom-world,18
representation,armenia,2019,electoral,freedomhouse_freedom-world,3
proportional representation,armenia,2019,electoral,freedomhouse_freedom-world,1
ethnic,armenia,2019,liberal_rights,freedomhouse_freedom-world,5
minority,armenia,2019,liberal_rights,freedomhouse_freedom-world,3
opposition parties,armenia,2019,electoral,freedomhouse_freedom-world,3
electoral,armenia,2019,electoral,freedomhouse_freedom-world,4
votebuying,armenia,2019,electoral,freedomhouse_freedom-world,1
vote,armenia,2019,electoral,freedomhouse_freedom-world,3
mandates,armenia,2019,electoral,freedomhouse_freedom-world,2
liberal,armenia,2019,liberal_rights,freedomhouse_freedom-world,1
election,armenia,2019,electoral,freedomhouse_freedom-world,4
campaigns,armenia,2019,electoral,freedomhouse_freedom-world,2
voting,armenia,2019,electoral,freedomhouse_freedom-world,2
protest,armenia,2019,participatory,freedomhouse_freedom-world,2
campaigning,armenia,2019,electoral,freedomhouse_freedom-world,1
minor,armenia,2019,liberal_rights,freedomhouse_freedom-world,1
check,armenia,2019,liberal_institution,freedomhouse_freedom-world,1
minorities,armenia,2019,liberal_rights,freedomhouse_freedom-world,2
lgbt,armenia,2019,liberal_rights,freedomhouse_freedom-world,2
women,armenia,2019,liberal_rights,freedomhouse_freedom-world,4
gender,armenia,2019,liberal_rights,freedomhouse_freedom-world,1
press,armenia,2019,media,freedomhouse_freedom-world,2
media,armenia,2019,media,freedomhouse_freedom-world,2
social media,armenia,2019,media,freedomhouse_freedom-world,1
journalists,armenia,2019,media,freedomhouse_freedom-world,2
online,armenia,2019,media,freedomhouse_freedom-world,1
campaign,armenia,2019,electoral,freedomhouse_freedom-world,1
church,armenia,2019,liberal_rights,freedomhouse_freedom-world,2
discrimination,armenia,2019,liberal_rights,freedomhouse_freedom-world,2
judiciary,armenia,2019,liberal_institution,freedomhouse_freedom-world,1
ngos,armenia,2019,participatory,freedomhouse_freedom-world,1
human rights,armenia,2019,liberal_rights,freedomhouse_freedom-world,1
civil society,armenia,2019,participatory,freedomhouse_freedom-world,1
unions,armenia,2019,participatory,freedomhouse_freedom-world,1
strike,armenia,2019,participatory,freedomhouse_freedom-world,1
union,armenia,2019,participatory,freedomhouse_freedom-world,3
courts,armenia,2019,liberal_institution,freedomhouse_freedom-world,1
judges,armenia,2019,liberal_institution,freedomhouse_freedom-world,2
prosecutors,armenia,2019,liberal_institution,freedomhouse_freedom-world,1
due process,armenia,2019,liberal_institution,freedomhouse_freedom-world,1
arbitrary detention,armenia,2019,liberal_institution,freedomhouse_freedom-world,1
protesters,armenia,2019,participatory,freedomhouse_freedom-world,1
discriminating,armenia,2019,liberal_rights,freedomhouse_freedom-world,1
asylum,armenia,2019,liberal_rights,freedomhouse_freedom-world,1
samesex,armenia,2019,liberal_rights,freedomhouse_freedom-world,1
elected,serbia,2019,electoral,freedomhouse_freedom-world,4
election,serbia,2019,electoral,freedomhouse_freedom-world,7
vote,serbia,2019,electoral,freedomhouse_freedom-world,9
campaign,serbia,2019,electoral,freedomhouse_freedom-world,7
media,serbia,2019,media,freedomhouse_freedom-world,19
electoral,serbia,2019,electoral,freedomhouse_freedom-world,7
representation,serbia,2019,electoral,freedomhouse_freedom-world,2
proportional representation,serbia,2019,electoral,freedomhouse_freedom-world,1
elections,serbia,2019,electoral,freedomhouse_freedom-world,9
opposition parties,serbia,2019,electoral,freedomhouse_freedom-world,3
television,serbia,2019,media,freedomhouse_freedom-world,1
ethnic,serbia,2019,liberal_rights,freedomhouse_freedom-world,5
minorities,serbia,2019,liberal_rights,freedomhouse_freedom-world,4
campaigning,serbia,2019,electoral,freedomhouse_freedom-world,2
the opposition,serbia,2019,electoral,freedomhouse_freedom-world,4
campaigns,serbia,2019,electoral,freedomhouse_freedom-world,3
civil society,serbia,2019,participatory,freedomhouse_freedom-world,2
votes,serbia,2019,electoral,freedomhouse_freedom-world,1
minority,serbia,2019,liberal_rights,freedomhouse_freedom-world,3
women,serbia,2019,liberal_rights,freedomhouse_freedom-world,4
candidate list,serbia,2019,electoral,freedomhouse_freedom-world,1
lgbt,serbia,2019,liberal_rights,freedomhouse_freedom-world,4
concentration of power,serbia,2019,liberal_institution,freedomhouse_freedom-world,1
prosecutors,serbia,2019,liberal_institution,freedomhouse_freedom-world,3
journalists,serbia,2019,media,freedomhouse_freedom-world,5
freedom of information,serbia,2019,participatory,freedomhouse_freedom-world,1
press,serbia,2019,media,freedomhouse_freedom-world,2
freedom of religion,serbia,2019,participatory,freedomhouse_freedom-world,1
free expression,serbia,2019,participatory,freedomhouse_freedom-world,1
social media,serbia,2019,media,freedomhouse_freedom-world,1
freedom of assembly,serbia,2019,participatory,freedomhouse_freedom-world,1
demonstrations,serbia,2019,participatory,freedomhouse_freedom-world,1
demonstrators,serbia,2019,participatory,freedomhouse_freedom-world,1
ngo,serbia,2019,participatory,freedomhouse_freedom-world,2
unions,serbia,2019,participatory,freedomhouse_freedom-world,1
strike,serbia,2019,participatory,freedomhouse_freedom-world,1
union,serbia,2019,participatory,freedomhouse_freedom-world,1
strikes,serbia,2019,participatory,freedomhouse_freedom-world,1
judiciary,serbia,2019,liberal_institution,freedomhouse_freedom-world,1
judges,serbia,2019,liberal_institution,freedomhouse_freedom-world,2
independence of the judiciary,serbia,2019,liberal_institution,freedomhouse_freedom-world,1
due process,serbia,2019,liberal_institution,freedomhouse_freedom-world,1
discrimination,serbia,2019,liberal_rights,freedomhouse_freedom-world,2
legal remedies,serbia,2019,liberal_institution,freedomhouse_freedom-world,1
elected,azerbaijan,2021,electoral,freedomhouse_freedom-world,3
elections,azerbaijan,2021,electoral,freedomhouse_freedom-world,11
election,azerbaijan,2021,electoral,freedomhouse_freedom-world,6
vote,azerbaijan,2021,electoral,freedomhouse_freedom-world,2
electoral,azerbaijan,2021,electoral,freedomhouse_freedom-world,8
opposition parties,azerbaijan,2021,electoral,freedomhouse_freedom-world,4
contests,azerbaijan,2021,electoral,freedomhouse_freedom-world,1
parliamentary seats,azerbaijan,2021,electoral,freedomhouse_freedom-world,1
turnout,azerbaijan,2021,electoral,freedomhouse_freedom-world,1
impartial,azerbaijan,2021,liberal_institution,freedomhouse_freedom-world,1
television,azerbaijan,2021,media,freedomhouse_freedom-world,2
courts,azerbaijan,2021,liberal_institution,freedomhouse_freedom-world,4
court,azerbaijan,2021,liberal_institution,freedomhouse_freedom-world,3
human rights,azerbaijan,2021,liberal_rights,freedomhouse_freedom-world,6
freedom of assembly,azerbaijan,2021,participatory,freedomhouse_freedom-world,2
news,azerbaijan,2021,media,freedomhouse_freedom-world,4
the opposition,azerbaijan,2021,electoral,freedomhouse_freedom-world,2
islamic,azerbaijan,2021,liberal_rights,freedomhouse_freedom-world,1
media,azerbaijan,2021,media,freedomhouse_freedom-world,10
campaigns,azerbaijan,2021,electoral,freedomhouse_freedom-world,2
arbitrary arrest,azerbaijan,2021,liberal_institution,freedomhouse_freedom-world,2
strike,azerbaijan,2021,participatory,freedomhouse_freedom-world,2
participation,azerbaijan,2021,participatory,freedomhouse_freedom-world,1
justice,azerbaijan,2021,liberal_institution,freedomhouse_freedom-world,3
women,azerbaijan,2021,liberal_rights,freedomhouse_freedom-world,5
minority,azerbaijan,2021,liberal_rights,freedomhouse_freedom-world,2
representation,azerbaijan,2021,electoral,freedomhouse_freedom-world,1
ethnic,azerbaijan,2021,liberal_rights,freedomhouse_freedom-world,3
minorities,azerbaijan,2021,liberal_rights,freedomhouse_freedom-world,1
participate,azerbaijan,2021,participatory,freedomhouse_freedom-world,1
check,azerbaijan,2021,liberal_institution,freedomhouse_freedom-world,1
press,azerbaijan,2021,media,freedomhouse_freedom-world,3
judiciary,azerbaijan,2021,liberal_institution,freedomhouse_freedom-world,2
independent judiciary,azerbaijan,2021,liberal_institution,freedomhouse_freedom-world,1
held accountable,azerbaijan,2021,liberal_institution,freedomhouse_freedom-world,1
access to information,azerbaijan,2021,participatory,freedomhouse_freedom-world,1
defamation,azerbaijan,2021,media,freedomhouse_freedom-world,1
online,azerbaijan,2021,media,freedomhouse_freedom-world,3
websites,azerbaijan,2021,media,freedomhouse_freedom-world,1
cyberattacks,azerbaijan,2021,media,freedomhouse_freedom-world,1
journalists,azerbaijan,2021,media,freedomhouse_freedom-world,6
muslim,azerbaijan,2021,liberal_rights,freedomhouse_freedom-world,2
